穰,穣
竊,窃
竝,並
粹,粋
絲,糸
經,経
綠,緑
緖,緒
緣,縁
縣,県
縱,縦
總,総
繩,縄
繪,絵
繼,継
續,続
纖,繊
缺,欠
罐,缶
聰,聡
聲,声
聽,聴
肅,粛
腦,脳
膽,胆
臟,臓
臺,台
與,与
舊,旧
舍,舎
舖,舗
艷,艶
莊,荘
莖,茎
萬,万
薰,薫
藏,蔵
藝,芸
藥,薬
處,処
虛,虚
號,号
螢,蛍
蟲,虫
蠶,蚕
蠻,蛮
衞,衛
裝,装
襃,褒
覺,覚
覽,覧
觀,観
觸,触
謠,謡
證,証
譯,訳
譽,誉
讀,読
變,変
讓,譲
豐,豊
豫,予
貳,弐
賣,売
賴,頼
贊,賛
踐,践
輕,軽
轉,転
辨,弁
辭,辞
辯,弁
遙,遥
遞,逓
遲,遅
邊,辺
郞,郎
鄕,郷
醉,酔
醫,医
釀,醸
釋,釈
錄,録
錢,銭
鍊,錬
鎭,鎮
鐵,鉄
鑄,鋳
鑛,鉱
關,関
陷,陥
隨,随
險,険
隱,隠
隸,隷
雙,双
雜,雑
霸,覇
靈,霊
靜,静
顏,顔
顯,顕
飜,翻
飮,飲
餘,余
騷,騒
驅,駆
驗,験
驛,駅
髓,髄
體,体
髮,髪
鬪,闘
鷄,鶏
鹽,塩
麥,麦
黃,黄
黑,黒
默,黙
點,点
黨,党
齊,斉
齋,斎
齒,歯
齡,齢
龍,竜
龜,亀
欄,欄
廊,廊
朗,朗
虜,虜
殺,殺
類,類
隆,隆
塚,塚
猪,猪
神,神
祥,祥
福,福
諸,諸
都,都
侮,侮
僧,僧
免,免
勉,勉
勤,勤
卑,卑
喝,喝
嘆,嘆
器,器
塀,塀
墨,墨
層,層
悔,悔
慨,慨
憎,憎
懲,懲
敏,敏
既,既
暑,暑
梅,梅
海,海
渚,渚
漢,漢
煮,煮
琢,琢
碑,碑
社,社
祉,祉
祈,祈
祐,祐
祖,祖
祝,祝
禍,禍
禎,禎
穀,穀
突,突
節,節
練,練
繁,繁
署,署
者,者
臭,臭
著,著
褐,褐
視,視
謁,謁
謹,謹
賓,賓
贈,贈
逸,逸
難,難
響,響
頻,頻
